# 	r			Protein			OW			SOD			CLA
1.849999999999999978e-01 0.000000000000000000e+00 3.163623787116336823e+07 1.183375466754913330e+06 1.814011989040374756e+06
1.950000000000000067e-01 0.000000000000000000e+00 3.162974211470699310e+07 1.177237197927474976e+06 1.810147938957214355e+06
2.050000000000000155e-01 0.000000000000000000e+00 3.162588625927352905e+07 1.166523964693069458e+06 1.818833189144134521e+06
2.149999999999999967e-01 0.000000000000000000e+00 3.162100644223117828e+07 1.181835152105331421e+06 1.799052088718414307e+06
2.250000000000000056e-01 0.000000000000000000e+00 3.161953449741840363e+07 1.176524515029907227e+06 1.806567488880157471e+06
2.350000000000000144e-01 0.000000000000000000e+00 3.159716733602428436e+07 1.174409456108093262e+06 1.806354788875579834e+06
2.449999999999999956e-01 0.000000000000000000e+00 3.159908726404094696e+07 1.170340266660690308e+06 1.833190439453125000e+06
2.550000000000000044e-01 0.000000000000000000e+00 3.160755094671440125e+07 1.182111029356002808e+06 1.809261688938140869e+06
2.650000000000000133e-01 0.000000000000000000e+00 3.160412707508468628e+07 1.178386686471939087e+06 1.818868639144897461e+06
2.750000000000000222e-01 0.000000000000000000e+00 3.160204715306663513e+07 1.175489975339889526e+06 1.821917339210510254e+06
2.850000000000000311e-01 0.000000000000000000e+00 3.158532777992153168e+07 1.176754412738800049e+06 1.810927838973999023e+06
2.949999999999999845e-01 0.000000000000000000e+00 3.160457505828857422e+07 1.173145018709182739e+06 1.800718238754272461e+06
3.049999999999999933e-01 0.000000000000000000e+00 3.158806367734527588e+07 1.169006859949111938e+06 1.810466988964080811e+06
3.150000000000000022e-01 0.000000000000000000e+00 3.158838366534805298e+07 1.169466655366897583e+06 1.814756439056396484e+06
3.250000000000000111e-01 0.000000000000000000e+00 3.158644773793125153e+07 1.169489645137786865e+06 1.807063788890838623e+06
3.350000000000000200e-01 0.000000000000000000e+00 3.157404820282363892e+07 1.177972870595932007e+06 1.797988588695526123e+06
3.450000000000000289e-01 0.000000000000000000e+00 3.157974398927307129e+07 1.175053169692993164e+06 1.812274939002990723e+06
3.550000000000000377e-01 0.000000000000000000e+00 3.158854365934944153e+07 1.168432115676879883e+06 1.811636838989257812e+06
3.649999999999999911e-01 0.000000000000000000e+00 3.158137592808723450e+07 1.173213988021850586e+06 1.805787588863372803e+06
3.750000000000000000e-01 0.000000000000000000e+00 3.157721608405113220e+07 1.172915121000289917e+06 1.808659038925170898e+06
3.850000000000000089e-01 0.000000000000000000e+00 3.157585613503932953e+07 1.183881241714477539e+06 1.809651638946533203e+06
3.950000000000000178e-01 0.000000000000000000e+00 3.155318498504257202e+07 1.169765522388458252e+06 1.818833189144134521e+06
4.050000000000000266e-01 0.000000000000000000e+00 3.156867240437698364e+07 1.169052839490890503e+06 1.798768488712310791e+06
4.150000000000000355e-01 0.000000000000000000e+00 3.157616012364196777e+07 1.171213877954483032e+06 1.804830438842773438e+06
4.249999999999999889e-01 0.000000000000000000e+00 3.158142392628765106e+07 1.171466765434265137e+06 1.807276488895416260e+06
4.349999999999999978e-01 0.000000000000000000e+00 3.154244938754940033e+07 1.178248747846603394e+06 1.823583489246368408e+06
4.450000000000000067e-01 0.000000000000000000e+00 3.156420857173824310e+07 1.174409456108093262e+06 1.800470088748931885e+06
4.550000000000000155e-01 0.000000000000000000e+00 3.155296099344062805e+07 1.179536175016403198e+06 1.816387139091491699e+06
4.650000000000000244e-01 0.000000000000000000e+00 3.157635211644363403e+07 1.173834711835861206e+06 1.820712039184570312e+06
4.750000000000000333e-01 0.000000000000000000e+00 3.155996873070144653e+07 1.177306167240142822e+06 1.803306088809967041e+06
4.849999999999999867e-01 0.000000000000000000e+00 3.155483292325687408e+07 1.172685223291397095e+06 1.813232089023590088e+06
5.000000000000000000e-01 0.000000000000000000e+00 3.155979273729991913e+07 1.171949550622940063e+06 1.808375438919067383e+06
